Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1,Dataset,Task,MAE,RMSE,R2
4,5,Logistic Regression,0.06962170000770129,0.9637883008356546,0.9643528157805004,0.9637883008356546,0.9638479932894466,digits_classification,classification,,,
4,5,Decision Tree,0.04497690001153387,0.8551532033426184,0.8669718723061159,0.8551532033426184,0.8567889467985994,digits_classification,classification,,,
4,5,Random Forest,0.5486748999974225,0.9693593314763231,0.9709229644539716,0.9693593314763231,0.9688075182027178,digits_classification,classification,,,
4,5,Gradient Boosting,1.4704175000078976,0.8913649025069638,0.8961295699173663,0.8913649025069638,0.8910009936452524,digits_classification,classification,,,
5,1,Logistic Regression,0.07102350000059232,0.9777777777777777,0.9778927364864866,0.9777777777777777,0.9776000136304777,digits_classification,classification,,,
5,1,Decision Tree,0.045554000011179596,0.8583333333333333,0.864117961112743,0.8583333333333333,0.8595651764840279,digits_classification,classification,,,
5,1,Random Forest,0.5305843999958597,0.9861111111111112,0.9865516832622097,0.9861111111111112,0.9861029076028169,digits_classification,classification,,,
5,1,Gradient Boosting,1.4290697999822441,0.925,0.9266724948226495,0.925,0.9250556233558375,digits_classification,classification,,,
5,2,Logistic Regression,0.07378549998975359,0.9722222222222222,0.9724701199933399,0.9722222222222222,0.9720073116930734,digits_classification,classification,,,
5,2,Decision Tree,0.04292189999250695,0.8194444444444444,0.8226111339691969,0.8194444444444444,0.8188808786657186,digits_classification,classification,,,
5,2,Random Forest,0.5382312999863643,0.9555555555555556,0.9557437165249664,0.9555555555555556,0.9550272093332525,digits_classification,classification,,,
5,2,Gradient Boosting,1.4438350000127684,0.875,0.8770679440550316,0.875,0.8747329741070811,digits_classification,classification,,,
5,3,Logistic Regression,0.07006090000504628,0.9610027855153204,0.9624513783081184,0.9610027855153204,0.961227742179665,digits_classification,classification,,,
5,3,Decision Tree,0.04450179997365922,0.8384401114206128,0.8434671790004693,0.8384401114206128,0.836501673286632,digits_classification,classification,,,
5,3,Random Forest,0.5280157000233885,0.9721448467966574,0.9731097832915748,0.9721448467966574,0.9722727553627694,digits_classification,classification,,,
5,3,Gradient Boosting,1.433440499997232,0.8941504178272981,0.8984584569909303,0.8941504178272981,0.8933025115125524,digits_classification,classification,,,
5,4,Logistic Regression,0.0695562000037171,0.9749303621169917,0.975655874204474,0.9749303621169917,0.9749972719698566,digits_classification,classification,,,
5,4,Decision Tree,0.04308380000293255,0.8245125348189415,0.8380927089725477,0.8245125348189415,0.8257624467130568,digits_classification,classification,,,
5,4,Random Forest,0.5224560000060592,0.9721448467966574,0.9728914056578621,0.9721448467966574,0.9722206236575744,digits_classification,classification,,,
5,4,Gradient Boosting,1.442490200017346,0.8941504178272981,0.8993936609186676,0.8941504178272981,0.8942513075260882,digits_classification,classification,,,
5,5,Logistic Regression,0.06801310001173988,0.9665738161559888,0.967961472139745,0.9665738161559888,0.9666710012979557,digits_classification,classification,,,
5,5,Decision Tree,0.04375869999057613,0.8328690807799443,0.8440386263758105,0.8328690807799443,0.834442147023385,digits_classification,classification,,,
5,5,Random Forest,0.5252062000217848,0.9749303621169917,0.9760384012186405,0.9749303621169917,0.9749395989487966,digits_classification,classification,,,
5,5,Gradient Boosting,1.446191800001543,0.8885793871866295,0.8908014051161525,0.8885793871866295,0.8885805772571098,digits_classification,classification,,,
1,1,Linear Regression,0.010326199990231544,,,,,diabetes_regression,regression,42.79409467959995,53.85344583676594,0.45260276297191926
1,1,Decision Tree,0.0113343000120949,,,,,diabetes_regression,regression,48.72455831641678,61.82755781055031,0.2784942587030993
