Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1
2,1,Decision Tree,0.012239609000062046,0.9649122807017544,0.9658276125095346,0.9649122807017544,0.965060378218273
2,1,Random Forest,0.17393623199996,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
2,1,Gradient Boosting,0.05271839300007741,0.9473684210526315,0.9474739303990012,0.9473684210526315,0.947107351712615
2,2,Logistic Regression,0.007745760000034352,0.9912280701754386,0.991349902534113,0.9912280701754386,0.991207141671538
2,2,Decision Tree,0.009684945999879346,0.9473684210526315,0.9474739303990012,0.9473684210526315,0.947107351712615
2,2,Random Forest,0.1614122190001126,0.9473684210526315,0.9474739303990012,0.9473684210526315,0.947107351712615
2,2,Gradient Boosting,0.05345269099984762,0.9473684210526315,0.9474739303990012,0.9473684210526315,0.947107351712615
2,3,Logistic Regression,0.010321234000002733,0.9736842105263158,0.9737105878629081,0.9736842105263158,0.9736164257756981
2,3,Decision Tree,0.010726203000103851,0.9385964912280702,0.9390418397779577,0.9385964912280702,0.9387429907553746
2,3,Random Forest,0.16568687900007717,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
2,3,Gradient Boosting,0.050321767000014006,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
2,4,Logistic Regression,0.0074015029999827675,0.9736842105263158,0.9737105878629081,0.9736842105263158,0.9736164257756981
2,4,Decision Tree,0.009960920999901646,0.9385964912280702,0.9390418397779577,0.9385964912280702,0.9387429907553746
2,4,Random Forest,0.15780662099996334,0.956140350877193,0.9568690958164642,0.956140350877193,0.9557756825927252
2,4,Gradient Boosting,0.04862178999997013,0.9210526315789473,0.9211336032388665,0.9210526315789473,0.9203962286669054
2,5,Logistic Regression,0.00703565100002379,0.9646017699115044,0.9648866529276274,0.9646017699115044,0.9644159052209991
2,5,Decision Tree,0.010404288000017914,0.9026548672566371,0.9023131160515144,0.9026548672566371,0.9024088183913326
2,5,Random Forest,0.14452732899985676,0.9203539823008849,0.9208773116161467,0.9203539823008849,0.920540055600474
2,5,Gradient Boosting,0.051878667999972095,0.9380530973451328,0.9384970452474054,0.9380530973451328,0.9381978210225909
3,1,Logistic Regression,0.007851759999994101,0.9824561403508771,0.9829367940398942,0.9824561403508771,0.9823691172375383
3,1,Decision Tree,0.011571655000125247,0.9035087719298246,0.903366524419156,0.9035087719298246,0.9027631396730296
3,1,Random Forest,0.17543547599984777,0.9122807017543859,0.9149039675355466,0.9122807017543859,0.9107693219535326
3,1,Gradient Boosting,0.049076574000082474,0.9298245614035088,0.9308322087269456,0.9298245614035088,0.9290742727182139
3,2,Logistic Regression,0.007708394000019325,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
3,2,Decision Tree,0.012827624000010474,0.9385964912280702,0.9390179995443153,0.9385964912280702,0.938731642017737
3,2,Random Forest,0.1681747650000034,1.0,1.0,1.0,1.0
3,2,Gradient Boosting,0.04806456200003595,0.9736842105263158,0.9739576213260425,0.9736842105263158,0.9737421322933159
3,3,Logistic Regression,0.006871065000041199,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
3,3,Decision Tree,0.009827590999975655,0.9736842105263158,0.9754385964912281,0.9736842105263158,0.9738579758273159
3,3,Random Forest,0.14817790899996908,1.0,1.0,1.0,1.0
3,3,Gradient Boosting,0.052176486999996996,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
3,4,Logistic Regression,0.007382794000022841,0.9824561403508771,0.9829302987197724,0.9824561403508771,0.9823623542652152
3,4,Decision Tree,0.009526749000087875,0.9385964912280702,0.9390013495276655,0.9385964912280702,0.9380859556298152
3,4,Random Forest,0.14321975200005,0.9649122807017544,0.966759002770083,0.9649122807017544,0.9645092460881936
3,4,Gradient Boosting,0.05200377699998171,0.9473684210526315,0.9487534626038782,0.9473684210526315,0.9467638691322903
3,5,Logistic Regression,0.026733579000165264,0.9557522123893806,0.956506540577337,0.9557522123893806,0.9553905446490127
3,5,Decision Tree,0.011064791999842782,0.9292035398230089,0.9304452761551646,0.9292035398230089,0.9295210654749654
3,5,Random Forest,0.16151823499990314,0.9557522123893806,0.9577216727398924,0.9557522123893806,0.9560376111683129
3,5,Gradient Boosting,0.05229697699996905,0.9203539823008849,0.9227225403435712,0.9203539823008849,0.920867700102963
4,1,Logistic Regression,0.009199197000043569,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
4,1,Decision Tree,0.011384342999917862,0.9385964912280702,0.938457254246728,0.9385964912280702,0.9384499917007656
4,1,Random Forest,0.15465712300010637,0.956140350877193,0.9569049312470365,0.956140350877193,0.9558014271241044
4,1,Gradient Boosting,0.05406796200009012,0.9385964912280702,0.939058795637743,0.9385964912280702,0.9381219979737462
4,2,Logistic Regression,0.007285917999979574,0.9649122807017544,0.9652053622194477,0.9649122807017544,0.9647382344750765
4,2,Decision Tree,0.009568340999976499,0.9210526315789473,0.9208263714842663,0.9210526315789473,0.9208642750438415
4,2,Random Forest,0.13933712300013212,0.9473684210526315,0.9505774598452308,0.9473684210526315,0.9477752351894229
4,2,Gradient Boosting,0.05210559099987222,0.9210526315789473,0.9261197501329079,0.9210526315789473,0.9217808699176352
4,3,Logistic Regression,0.007738809000102265,0.9912280701754386,0.9913482335976929,0.9912280701754386,0.9912054752585661
4,3,Decision Tree,0.011452495000185081,0.9473684210526315,0.9484620642515378,0.9473684210526315,0.9476097712345061
4,3,Random Forest,0.1581967590000204,0.9649122807017544,0.9651849217638692,0.9649122807017544,0.9647247085304307
4,3,Gradient Boosting,0.04935036599999876,0.956140350877193,0.9560729421281235,0.956140350877193,0.9560273762928302
4,4,Logistic Regression,0.036629142999800024,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
4,4,Decision Tree,0.009303023000029498,0.9473684210526315,0.9474395448079658,0.9473684210526315,0.947087062795646
4,4,Random Forest,0.16039629700003388,0.9736842105263158,0.9747368421052632,0.9736842105263158,0.9734654095556351
4,4,Gradient Boosting,0.049459820999800286,0.9649122807017544,0.9651849217638692,0.9649122807017544,0.9647247085304307
4,5,Logistic Regression,0.007619860000204426,0.9911504424778761,0.9912733529990166,0.9911504424778761,0.991128074399212
4,5,Decision Tree,0.010965642999963165,0.9469026548672567,0.9469026548672567,0.9469026548672567,0.9469026548672567
4,5,Random Forest,0.16981436200012467,0.9646017699115044,0.9655520188417456,0.9646017699115044,0.9647605327374827
4,5,Gradient Boosting,0.05500032899999496,0.9646017699115044,0.9646017699115044,0.9646017699115044,0.9646017699115044
5,1,Logistic Regression,0.012071757000057914,0.9912280701754386,0.991349902534113,0.9912280701754386,0.991207141671538
5,1,Decision Tree,0.012344437000137987,0.8771929824561403,0.8769050832208728,0.8771929824561403,0.8758799772568742
5,1,Random Forest,0.1574213870001131,0.9210526315789473,0.9256447743289848,0.9210526315789473,0.9194094317434909
5,1,Gradient Boosting,0.05035322499998074,0.9122807017543859,0.9149039675355466,0.9122807017543859,0.9107693219535326
5,2,Logistic Regression,0.007202291999874433,0.9736842105263158,0.9737190197716513,0.9736842105263158,0.973621425014614
5,2,Decision Tree,0.009635242000058497,0.9385964912280702,0.9390179995443153,0.9385964912280702,0.938731642017737
5,2,Random Forest,0.1762210930000947,0.9649122807017544,0.9652053622194477,0.9649122807017544,0.9647382344750765
5,2,Gradient Boosting,0.04842595599984634,0.9649122807017544,0.9652053622194477,0.9649122807017544,0.9647382344750765
5,3,Logistic Regression,0.048921707000090464,0.956140350877193,0.9560729421281235,0.956140350877193,0.9560273762928302
5,3,Decision Tree,0.011154958000133774,0.9473684210526315,0.9474395448079658,0.9473684210526315,0.947087062795646
5,3,Random Forest,0.1540511030000289,0.9385964912280702,0.944037308461026,0.9385964912280702,0.9372286827846255
5,3,Gradient Boosting,0.04913269799999398,0.9298245614035088,0.9330859199280251,0.9298245614035088,0.9285290148448043
5,4,Logistic Regression,0.0071606100000281,0.9824561403508771,0.9829302987197724,0.9824561403508771,0.9823623542652152
5,4,Decision Tree,0.010625332000017806,0.956140350877193,0.9565052493664558,0.956140350877193,0.9562449933966962
5,4,Random Forest,0.15787876899980802,0.9210526315789473,0.9262756764887768,0.9210526315789473,0.9218503375891834
5,4,Gradient Boosting,0.049859712999932526,0.9385964912280702,0.9407576913297737,0.9385964912280702,0.9390019435970705
5,5,Logistic Regression,0.00743590399997629,0.9911504424778761,0.9912733529990166,0.9911504424778761,0.991128074399212
5,5,Decision Tree,0.010387474000026486,0.9203539823008849,0.9208773116161467,0.9203539823008849,0.920540055600474
5,5,Random Forest,0.15627889300003517,0.9823008849557522,0.9831053901850362,0.9823008849557522,0.9823802663687414
5,5,Gradient Boosting,0.049867714000129126,0.9646017699115044,0.9646017699115044,0.9646017699115044,0.9646017699115044
