Repeat,Fold,Model,Runtime_Sec,MAE,RMSE,R2
4,2,Gradient Boosting,0.017334100999960356,47.833554124106925,57.70214656950821,0.45942382438119755
4,3,Linear Regression,0.004105425000034302,45.960526360015315,55.985225856869235,0.42255130393682694
4,3,Decision Tree,0.006305372999804604,59.64002508854782,79.48203874482815,-0.1638701573154402
4,3,Random Forest,0.10729983000010179,45.78068181818182,57.339014958086224,0.39428686508707333
4,3,Gradient Boosting,0.01766619999989416,46.009500386660335,57.25924035015156,0.3959711254186794
4,4,Linear Regression,0.0047701750002033805,44.211748234958,53.549240079420045,0.5695876185806736
4,4,Decision Tree,0.006131992999826252,64.24351178712593,83.3319002110752,-0.04231911410189859
4,4,Random Forest,0.11684725000009166,49.115340909090904,58.68455103927965,0.48307718045324965
4,4,Gradient Boosting,0.018822309000142923,49.18774141645597,58.4459399397612,0.4872722458691693
4,5,Linear Regression,0.004584846000170728,43.77769902417651,55.657818048807705,0.40657960345298017
4,5,Decision Tree,0.006450792000123329,60.17026295076534,79.46222822166918,-0.20957163577433557
4,5,Random Forest,0.1151778179998928,50.01897727272728,60.86139503562023,0.2904321630979112
4,5,Gradient Boosting,0.01816625199990085,47.253857278639224,56.666039393258906,0.3848856845129113
5,1,Linear Regression,0.003759434999892619,45.68240404581979,55.75510904422498,0.5032287082608264
5,1,Decision Tree,0.004698886999904062,54.01992164771411,72.53722580891663,0.15916838054165627
5,1,Random Forest,0.10362744600001861,47.778988764044946,57.58249251135474,0.47013153828313203
5,1,Gradient Boosting,0.017788655000003928,48.55816171259654,57.73231138349455,0.4673707141717679
5,2,Linear Regression,0.0038567809999676683,46.44770659984127,56.604250509377955,0.41936039543691916
5,2,Decision Tree,0.00493346999996902,59.812721469248245,73.70373445364821,0.015563849900621984
5,2,Random Forest,0.11424034800006666,48.95011235955056,59.3358427782251,0.3619675063965002
5,2,Gradient Boosting,0.016637653000088903,50.09128563628156,59.65001245257971,0.3551931480682682
5,3,Linear Regression,0.003807115999961752,45.1180261842159,55.41038005533021,0.5629796031588861
5,3,Decision Tree,0.005284819000053176,52.92997863268208,68.87774660135783,0.32473022713579913
5,3,Random Forest,0.10358323900004507,48.67011363636364,59.072697710302066,0.5033012601595852
5,3,Gradient Boosting,0.017547986999943532,49.79922994502999,59.69597104392519,0.4927646749414325
5,4,Linear Regression,0.00366306900014024,42.371892044194084,52.26779839773962,0.5047446204046655
5,4,Decision Tree,0.004689043000098536,69.17178236480544,87.04223402297922,-0.3734752732521276
5,4,Random Forest,0.10731125600000269,49.09909090909091,61.321897746089185,0.31830209349708394
5,4,Gradient Boosting,0.018005850999998074,48.172491254115805,57.54162247370372,0.39975991675232936
5,5,Linear Regression,0.0054125610001847235,42.91359266870857,54.188283971581015,0.4151847977287244
5,5,Decision Tree,0.007066248000000996,56.42207526950174,68.12985322909365,0.075551410410862
5,5,Random Forest,0.10885238400010167,43.780568181818175,56.25257556729777,0.3697792749883523
5,5,Gradient Boosting,0.019293638000135616,43.221712083787594,54.209682299009,0.41472283299775337
